Time/Residue,AFR2_R1.xvg,AFR2_R2.xvg
5.87,2.29852,2.32183
5.88,2.29426,2.31682
5.89,2.30003,2.30707
5.9,2.29283,2.30526
5.91,2.29677,2.31959
5.92,2.29986,2.30949
5.93,2.30053,2.30352
5.94,2.3044,2.31142
5.95,2.29883,2.31318
5.96,2.29489,2.32294
5.97,2.29862,2.32227
5.98,2.30376,2.30754
5.99,2.29949,2.305
6.0,2.30061,2.31695
6.01,2.30242,2.31732
6.02,2.29287,2.31006
6.03,2.29962,2.31957
6.04,2.29706,2.30424
6.05,2.29393,2.30451
6.06,2.29478,2.30536
6.07,2.30416,2.3153
6.08,2.29487,2.30561
6.09,2.30141,2.31139
6.1,2.29773,2.30838
6.11,2.29737,2.31209
6.12,2.30142,2.31137
6.13,2.29886,2.30454
6.14,2.3023,2.3227
6.15,2.3026,2.32147
6.16,2.30415,2.3088
6.17,2.30578,2.31035
6.18,2.30542,2.31455
6.19,2.30687,2.31748
6.2,2.30026,2.31347
6.21,2.30521,2.32217
6.22,2.29987,2.3221
6.23,2.30652,2.32436
6.24,2.29925,2.32221
6.25,2.29544,2.32097
6.26,2.29891,2.3206
6.27,2.30067,2.31743
6.28,2.30422,2.31374
6.29,2.3012,2.32764
6.3,2.30653,2.32053
6.31,2.3032,2.32096
6.32,2.30817,2.31664
6.33,2.31138,2.30991
6.34,2.30677,2.32827
6.35,2.30081,2.32681
6.36,2.30032,2.32822
6.37,2.29659,2.32677
6.38,2.29126,2.32722
6.39,2.29505,2.31931
6.4,2.29876,2.32164
6.41,2.29416,2.31884
6.42,2.30794,2.31473
6.43,2.29503,2.31351
6.44,2.29411,2.31488
6.45,2.29876,2.31653
6.46,2.2998,2.30741
6.47,2.2941,2.31579
6.48,2.29589,2.3046
6.49,2.29523,2.31121
6.5,2.29817,2.31782
6.51,2.29142,2.309
6.52,2.29506,2.30493
6.53,2.29871,2.31123
6.54,2.30042,2.30849
6.55,2.30035,2.3083
6.56,2.29725,2.32072
6.57,2.29852,2.31258
6.58,2.29928,2.31029
6.59,2.29714,2.31108
6.6,2.29651,2.31504
6.61,2.30509,2.30881
6.62,2.2978,2.30663
6.63,2.30291,2.30806
6.64,2.29848,2.29766
6.65,2.29766,2.30633
6.66,2.2909,2.31187
6.67,2.28838,2.31669
6.68,2.29179,2.32109
6.69,2.2883,2.31978
6.7,2.29011,2.3155
6.71,2.29752,2.30958
6.72,2.29563,2.31164
6.73,2.28892,2.31884
6.74,2.29852,2.31952
6.75,2.29347,2.31299
6.76,2.29076,2.30396
6.77,2.29824,2.29995
6.78,2.3004,2.31153
6.79,2.29611,2.32022
6.8,2.29527,2.31262
6.81,2.28882,2.31145
6.82,2.29359,2.31161
6.83,2.29821,2.31378
6.84,2.29733,2.31158
6.85,2.2905,2.30947
6.86,2.29485,2.30392
6.87,2.29454,2.31184
6.88,2.29465,2.30106
6.89,2.29572,2.29615
6.9,2.2957,2.30918
6.91,2.29257,2.30983
6.92,2.29541,2.31489
6.93,2.28967,2.31347
6.94,2.29387,2.31181
6.95,2.294,2.30675
6.96,2.29375,2.31014
6.97,2.30386,2.30099
6.98,2.30197,2.3128
6.99,2.29169,2.30864
7.0,2.28721,2.30026
7.01,2.28951,2.31022
7.02,2.29257,2.31677
7.03,2.29029,2.31028
7.04,2.29288,2.3184
7.05,2.28673,2.30516
7.06,2.30146,2.31712
7.07,2.29631,2.32141
7.08,2.29908,2.32034
7.09,2.29603,2.31124
7.1,2.30043,2.30181
7.11,2.30165,2.30913
7.12,2.29727,2.3203
7.13,2.30035,2.31878
7.14,2.29194,2.32257
7.15,2.30565,2.32124
7.16,2.30453,2.31615
7.17,2.30013,2.32498
7.18,2.30049,2.31125
7.19,2.3054,2.31904
7.2,2.30649,2.32739
7.21,2.30034,2.31607
7.22,2.29871,2.32962
7.23,2.2985,2.31863
7.24,2.30468,2.31568
7.25,2.30157,2.31855
7.26,2.29752,2.31607
7.27,2.2919,2.31627
7.28,2.29631,2.3115
7.29,2.29823,2.31681
7.3,2.28797,2.30614
7.31,2.29454,2.3118
7.32,2.29164,2.31733
7.33,2.2906,2.31432
7.34,2.29915,2.31013
7.35,2.30287,2.31035
7.36,2.30029,2.31099
7.37,2.29693,2.3125
7.38,2.29423,2.31143
7.39,2.29549,2.32238
7.4,2.30055,2.32041
7.41,2.30344,2.32458
7.42,2.29774,2.32417
7.43,2.30444,2.3227
7.44,2.29845,2.31459
7.45,2.30096,2.31998
7.46,2.30313,2.31567
7.47,2.29622,2.31782
7.48,2.30109,2.31189
7.49,2.30068,2.31655
7.5,2.30043,2.3226
7.51,2.30824,2.32154
7.52,2.30564,2.32569
7.53,2.30008,2.32619
7.54,2.29325,2.3167
7.55,2.30438,2.32456
7.56,2.2978,2.32647
7.57,2.30198,2.31537
7.58,2.30152,2.31497
7.59,2.30063,2.31415
7.6,2.30086,2.31872
7.61,2.30514,2.31649
7.62,2.30676,2.32248
7.63,2.29417,2.32164
7.64,2.30283,2.31501
7.65,2.30062,2.32549
7.66,2.30097,2.31773
7.67,2.29957,2.31886
7.68,2.30521,2.32186
7.69,2.30415,2.31564
7.7,2.30513,2.30986
7.71,2.29944,2.31974
7.72,2.30849,2.30781
7.73,2.30138,2.30836
7.74,2.30214,2.3122
7.75,2.30262,2.32273
7.76,2.30193,2.3163
7.77,2.29914,2.31664
7.78,2.29614,2.30684
7.79,2.31388,2.30669
7.8,2.29757,2.30454
7.81,2.30571,2.3109
7.82,2.306,2.30325
7.83,2.29889,2.3031
7.84,2.30497,2.29888
7.85,2.3036,2.30487
7.86,2.30834,2.31
7.87,2.30522,2.30229
7.88,2.30194,2.30216
7.89,2.30448,2.30721
7.9,2.30184,2.30176
7.91,2.29925,2.30142
7.92,2.29781,2.30621
7.93,2.29808,2.30321
7.94,2.3082,2.29983
7.95,2.30097,2.30759
7.96,2.29918,2.29769
