FOLDER,LIGAND_ENTRY,TOTAL_SCORE,smiles
file15,A4463_entry_00067_conf_01,-112.197,CCN(Cc1ccccn1)C[C@@](O)(Cn1cncn1)c1ccc(F)cc1F
file1,A257_entry_00257_conf_01,-112.172,FC(F)(F)c1ccc([C@@H](Cn2ccnc2)OCc2ccccc2)cc1
file10,A3063_entry_00237_conf_01,-112.09,Fc1ccc(CCO[C@H](Cn2ccnc2)c2ccc(Cl)cc2)cc1
file12,A3673_entry_00219_conf_01,-112.056,C[C@@H](N1CCN(Cc2ccccc2Cl)CC1)[C@](O)(Cn1cncn1)c1ccc(F)cc1F
file15,A4476_entry_00080_conf_01,-112.048,OCCN(Cc1ccncc1)C[C@](O)(Cn1cncn1)c1ccc(F)cc1F
file11,A3388_entry_00248_conf_01,-112.005,c1ccc(Cn2ccnc2[C@@H](c2ccccc2)n2ccnc2)cc1
file11,A3305_entry_00165_conf_01,-111.985,COc1ccc(CC[C@@H](Cn2ccnc2)Sc2ccccc2)cc1
file11,A3328_entry_00188_conf_01,-111.976,N#CCc1ccc(O[C@@H](CCc2ccc(Cl)cc2)Cn2ccnc2)cc1
file15,A4704_entry_00308_conf_01,-111.892,CNC/C=C\C#CCN(C)Cc1cccc2ccccc12
file12,A3507_entry_00053_conf_01,-111.796,C[C@@H](N1CC[C@H](c2cccc(F)c2)CC1)[C@](O)(Cn1cncn1)c1ccc(F)cc1F
file11,A3263_entry_00123_conf_01,-111.79,CN(Cc1ccc(Cl)cc1)Cc1ccc(CO)c2ccccc12
